method,cosine,mse,n_effective_levels
symmetric_uniform,0.9051125376358176,0.0015858756,14
NF4_normal_quantiles,0.9731527038957947,0.0004522266255050783,15
lloyd_max_optimal,0.9897295277272183,0.00015543566,15
log_scale,0.9645330907288019,0.0005214276285995386,15
random_levels,0.8939575090307224,0.0016243298,15
symmetric_uniform_INT3,0.6372530774105143,0.005227505942320673,7
NF4_normal_quantiles_INT3,0.9479058348660384,0.0008695281965536753,7
lloyd_max_optimal_INT3,0.9652749285908281,0.00051726616,7
