layer,n_bits,cosine,weight_std,weight_kurtosis
0,8,0.9994897631795984,0.016590125858783722,4.450676441192627
0,5,0.9654093028883788,0.016590125858783722,4.450676441192627
0,4,0.8633209729562172,0.016590125858783722,4.450676441192627
0,3,0.4285703340342674,0.016590125858783722,4.450676441192627
0,2,0.07748426824719667,0.016590125858783722,4.450676441192627
1,8,0.9996125632228499,0.01667718216776848,3.7406084537506104
1,5,0.9730348441950158,0.01667718216776848,3.7406084537506104
1,4,0.8910795856730409,0.01667718216776848,3.7406084537506104
1,3,0.5089025561290796,0.01667718216776848,3.7406084537506104
1,2,0.0551787533853615,0.01667718216776848,3.7406084537506104
2,8,0.9994729124983477,0.016670316457748413,3.795564651489258
2,5,0.963917384118867,0.016670316457748413,3.795564651489258
2,4,0.8583338048355621,0.016670316457748413,3.795564651489258
2,3,0.37402027384350406,0.016670316457748413,3.795564651489258
2,2,0.08953131688071533,0.016670316457748413,3.795564651489258
3,8,0.9997870296644982,0.01825103536248207,3.2159006595611572
3,5,0.9849580310341861,0.01825103536248207,3.2159006595611572
3,4,0.9353644601861011,0.01825103536248207,3.2159006595611572
3,3,0.7037369325103636,0.01825103536248207,3.2159006595611572
3,2,0.07004141520498187,0.01825103536248207,3.2159006595611572
4,8,0.999702345969045,0.018429884687066078,3.2276532649993896
4,5,0.9790746647071589,0.018429884687066078,3.2276532649993896
4,4,0.9140883330807876,0.018429884687066078,3.2276532649993896
4,3,0.5942206048130351,0.018429884687066078,3.2276532649993896
4,2,0.033191919336872246,0.018429884687066078,3.2276532649993896
5,8,0.9998771249063262,0.01977069303393364,3.133540391921997
5,5,0.9914431256336973,0.01977069303393364,3.133540391921997
5,4,0.9621197169723997,0.01977069303393364,3.133540391921997
5,3,0.8278300869272757,0.01977069303393364,3.133540391921997
5,2,0.11486805384510705,0.01977069303393364,3.133540391921997
6,8,0.9998578590534608,0.020352285355329514,3.1585512161254883
6,5,0.9897031848299425,0.020352285355329514,3.1585512161254883
6,4,0.9555168592013975,0.020352285355329514,3.1585512161254883
6,3,0.79682643234835,0.020352285355329514,3.1585512161254883
6,2,0.08504148648497167,0.020352285355329514,3.1585512161254883
7,8,0.9997918939502275,0.020550673827528954,3.213313579559326
7,5,0.9852396213237014,0.020550673827528954,3.213313579559326
7,4,0.9376549933532047,0.020550673827528954,3.213313579559326
7,3,0.7062110328789398,0.020550673827528954,3.213313579559326
7,2,0.03880358018795905,0.020550673827528954,3.213313579559326
8,8,0.9998401950392954,0.02056870423257351,3.2567429542541504
8,5,0.9889150005633345,0.02056870423257351,3.2567429542541504
8,4,0.9513291898732918,0.02056870423257351,3.2567429542541504
8,3,0.7799305755808548,0.02056870423257351,3.2567429542541504
8,2,0.09012229776315536,0.02056870423257351,3.2567429542541504
9,8,0.9998692573950867,0.021447354927659035,3.167422294616699
9,5,0.9903113600594865,0.021447354927659035,3.167422294616699
9,4,0.9575997441697311,0.021447354927659035,3.167422294616699
9,3,0.809218104935397,0.021447354927659035,3.167422294616699
9,2,0.09909310952827302,0.021447354927659035,3.167422294616699
10,8,0.9997558832417649,0.021915076300501823,3.1729419231414795
10,5,0.9830924469827532,0.021915076300501823,3.1729419231414795
10,4,0.9303083683683216,0.021915076300501823,3.1729419231414795
10,3,0.6710963264109041,0.021915076300501823,3.1729419231414795
10,2,0.023864193471130266,0.021915076300501823,3.1729419231414795
11,8,0.9998824782763464,0.022438671439886093,3.2396397590637207
11,5,0.9916275592969623,0.022438671439886093,3.2396397590637207
11,4,0.9633667934623914,0.022438671439886093,3.2396397590637207
11,3,0.8315878160588874,0.022438671439886093,3.2396397590637207
11,2,0.14715891071706302,0.022438671439886093,3.2396397590637207
12,8,0.9998312810194573,0.021613778546452522,3.1522629261016846
12,5,0.9881629497420935,0.021613778546452522,3.1522629261016846
12,4,0.9488680524739848,0.021613778546452522,3.1522629261016846
12,3,0.7663638660696425,0.021613778546452522,3.1522629261016846
12,2,0.05789374540648947,0.021613778546452522,3.1522629261016846
13,8,0.9998324280357953,0.02261514961719513,3.147496461868286
13,5,0.9876744507338024,0.02261514961719513,3.147496461868286
13,4,0.9463960786424179,0.02261514961719513,3.147496461868286
13,3,0.7564715191674602,0.02261514961719513,3.147496461868286
13,2,0.057440963048303706,0.02261514961719513,3.147496461868286
14,8,0.9997369669888326,0.02080698497593403,3.3788647651672363
14,5,0.98161370210354,0.02080698497593403,3.3788647651672363
14,4,0.9241036525995813,0.02080698497593403,3.3788647651672363
14,3,0.6482260883419327,0.02080698497593403,3.3788647651672363
14,2,0.06831963309833948,0.02080698497593403,3.3788647651672363
15,8,0.9998454148791758,0.022608855739235878,3.144385814666748
15,5,0.9891208531873682,0.022608855739235878,3.144385814666748
15,4,0.95323673610199,0.022608855739235878,3.144385814666748
15,3,0.7844503420097593,0.022608855739235878,3.144385814666748
15,2,0.06852183955306428,0.022608855739235878,3.144385814666748
16,8,0.9996491505974224,0.024258611723780632,3.414292573928833
16,5,0.9756738090127245,0.024258611723780632,3.414292573928833
16,4,0.8997658083871777,0.024258611723780632,3.414292573928833
16,3,0.5414950681970302,0.024258611723780632,3.414292573928833
16,2,0.06734106278931935,0.024258611723780632,3.414292573928833
17,8,0.9996833335610159,0.024017589166760445,3.479928970336914
17,5,0.9774599312535875,0.024017589166760445,3.479928970336914
17,4,0.9075951992425296,0.024017589166760445,3.479928970336914
17,3,0.5923696561991376,0.024017589166760445,3.479928970336914
17,2,0.0425548823601197,0.024017589166760445,3.479928970336914
18,8,0.9994964657337174,0.023033099249005318,3.6127631664276123
18,5,0.965462685410754,0.023033099249005318,3.6127631664276123
18,4,0.8639960707210641,0.023033099249005318,3.6127631664276123
18,3,0.4241142214187862,0.023033099249005318,3.6127631664276123
18,2,0.037407328058878905,0.023033099249005318,3.6127631664276123
19,8,0.9995724331406571,0.02276911586523056,3.604585886001587
19,5,0.9707612414812178,0.02276911586523056,3.604585886001587
19,4,0.8816248637412306,0.02276911586523056,3.604585886001587
19,3,0.48956677183079456,0.02276911586523056,3.604585886001587
19,2,0.05488260452026768,0.02276911586523056,3.604585886001587
20,8,0.99957616889697,0.020236162468791008,4.465115070343018
20,5,0.9706009420094069,0.020236162468791008,4.465115070343018
20,4,0.8834448396664519,0.020236162468791008,4.465115070343018
20,3,0.5361058584385807,0.020236162468791008,4.465115070343018
20,2,0.06774730306599834,0.020236162468791008,4.465115070343018
21,8,0.9987303509390797,0.019567256793379784,6.546095371246338
21,5,0.9192308131851927,0.019567256793379784,6.546095371246338
21,4,0.7052478084790366,0.019567256793379784,6.546095371246338
21,3,0.22780718632974525,0.019567256793379784,6.546095371246338
21,2,0.08647065396211538,0.019567256793379784,6.546095371246338
22,8,0.9988748564050095,0.015665024518966675,6.760651111602783
22,5,0.9275423936946682,0.015665024518966675,6.760651111602783
22,4,0.7242086449414179,0.015665024518966675,6.760651111602783
22,3,0.2830601646206298,0.015665024518966675,6.760651111602783
22,2,0.0688043117671131,0.015665024518966675,6.760651111602783
23,8,0.9994698054774077,0.014683227054774761,5.162733554840088
23,5,0.9639035534973691,0.014683227054774761,5.162733554840088
23,4,0.8560953942273856,0.014683227054774761,5.162733554840088
23,3,0.4367676265403626,0.014683227054774761,5.162733554840088
23,2,0.10949098499748502,0.014683227054774761,5.162733554840088
