step,loss
1,5.599175930023193
2,5.561978340148926
3,5.490789413452148
4,5.465374946594238
5,5.385822772979736
6,5.1988911628723145
7,5.008150577545166
8,4.957793712615967
9,4.7335286140441895
10,4.536561489105225
11,4.415902137756348
12,4.198721885681152
13,3.9198801517486572
14,3.6322267055511475
15,3.4280641078948975
16,3.1551826000213623
17,3.017179489135742
18,2.712564706802368
19,2.5105643272399902
20,2.337212324142456
21,2.1017870903015137
22,2.019439458847046
23,1.8030040264129639
24,1.5228643417358398
25,1.6218221187591553
26,1.348420262336731
27,1.2897028923034668
28,1.1572340726852417
29,1.1058807373046875
30,1.1117455959320068
31,0.9145641922950745
32,0.8316527009010315
33,0.8620752096176147
34,0.7516194581985474
35,0.7151005268096924
36,0.6790505647659302
37,0.6274012327194214
38,0.611635684967041
39,0.5248030424118042
40,0.5430444478988647
41,0.4799869954586029
42,0.44717535376548767
43,0.4132782816886902
44,0.3443852961063385
45,0.33524584770202637
46,0.34645333886146545
47,0.3501884937286377
48,0.34071046113967896
49,0.30658257007598877
50,0.29783621430397034
51,0.2890525162220001
52,0.2725702226161957
53,0.288570761680603
54,0.23723752796649933
55,0.24005427956581116
56,0.21803484857082367
57,0.21992532908916473
58,0.19844304025173187
59,0.209276482462883
60,0.21080757677555084
61,0.21041400730609894
62,0.18227341771125793
63,0.18298594653606415
64,0.174017533659935
65,0.1446852833032608
66,0.15989439189434052
67,0.14519844949245453
68,0.1627102643251419
69,0.15661408007144928
70,0.15677405893802643
71,0.13115665316581726
72,0.1418112963438034
73,0.16011032462120056
74,0.13277819752693176
75,0.1257709413766861
76,0.1386738270521164
77,0.13340221345424652
78,0.12176185846328735
79,0.1085008755326271
80,0.11452428996562958
81,0.12777790427207947
82,0.12560640275478363
83,0.10725248605012894
84,0.11459644138813019
85,0.12435857951641083
86,0.1149810180068016
87,0.10987672209739685
88,0.11064162850379944
89,0.0990723967552185
90,0.1012050211429596
91,0.10453527420759201
92,0.10233665257692337
93,0.10473891347646713
94,0.09659413248300552
95,0.10247267782688141
96,0.09184443205595016
97,0.1003447026014328
98,0.11184370517730713
99,0.09312739968299866
100,0.09142746776342392
101,0.09125836193561554
102,0.08927492797374725
103,0.09203671663999557
104,0.08983428031206131
105,0.0901387631893158
106,0.07692377269268036
107,0.0876598060131073
108,0.07978839427232742
109,0.09892796725034714
110,0.09518183022737503
111,0.07750140130519867
112,0.07492233067750931
113,0.0798422172665596
114,0.0809808000922203
115,0.07741639763116837
116,0.08719052374362946
117,0.08004122972488403
118,0.07575277239084244
119,0.07956138253211975
120,0.07366032153367996
121,0.07299581170082092
122,0.07650399208068848
123,0.08209646493196487
124,0.07409179955720901
125,0.08486945927143097
126,0.07263434678316116
127,0.07398788630962372
128,0.07716988772153854
129,0.07746747881174088
130,0.07609860599040985
131,0.07976315915584564
132,0.08481117337942123
133,0.07761938124895096
134,0.0794602483510971
135,0.07296760380268097
136,0.0706920251250267
137,0.07117395848035812
138,0.07302826642990112
139,0.0874212458729744
140,0.0740080252289772
141,0.06950177997350693
142,0.07798048853874207
143,0.07631853967905045
144,0.0700903981924057
145,0.07869604229927063
146,0.07346262037754059
147,0.07617893069982529
148,0.07875904440879822
149,0.07362928241491318
150,0.06904841959476471
151,0.07251771539449692
152,0.07221193611621857
153,0.06606809794902802
154,0.072105273604393
155,0.06873572617769241
156,0.06784702092409134
157,0.06645962595939636
158,0.07605442404747009
159,0.06281221657991409
160,0.07422871142625809
161,0.06493005156517029
162,0.07361190766096115
163,0.07034268975257874
164,0.07385019958019257
165,0.08104899525642395
166,0.06756407767534256
167,0.0712677389383316
168,0.06619936972856522
169,0.06547568738460541
170,0.06600166112184525
171,0.06746324151754379
172,0.06322722882032394
173,0.06551167368888855
174,0.07524552941322327
175,0.0704510286450386
176,0.06920477002859116
177,0.06958624720573425
178,0.07245264202356339
179,0.0684872567653656
180,0.056679386645555496
181,0.07060432434082031
182,0.06475255638360977
183,0.06347015500068665
184,0.06226091459393501
185,0.07151611149311066
186,0.07223626226186752
187,0.07121535390615463
188,0.06023164466023445
189,0.07123517990112305
190,0.06917418539524078
191,0.059647541493177414
192,0.06484051793813705
193,0.06593025475740433
194,0.060337573289871216
195,0.0687568411231041
196,0.05991047993302345
197,0.061142344027757645
198,0.0634472668170929
199,0.06496091187000275
200,0.06641265749931335
201,0.06952688097953796
202,0.06329029053449631
203,0.06309416890144348
204,0.06794477999210358
205,0.06700968742370605
206,0.061573728919029236
207,0.06717474013566971
208,0.05956919491291046
209,0.06388751417398453
210,0.06029212847352028
211,0.06036579608917236
212,0.06259237229824066
213,0.06394175440073013
214,0.04737680405378342
215,0.06386157870292664
216,0.058585379272699356
217,0.059012521058321
218,0.06576275080442429
219,0.056845974177122116
220,0.052972063422203064
221,0.05561963468790054
222,0.05683966726064682
223,0.05866614729166031
224,0.060905925929546356
225,0.056929271668195724
226,0.060388676822185516
227,0.06388209015130997
228,0.05786604434251785
229,0.06659100949764252
230,0.05549534782767296
231,0.06327974051237106
232,0.0593009851872921
233,0.05341435223817825
234,0.06287207454442978
235,0.053919170051813126
236,0.06357933580875397
237,0.05781588330864906
238,0.05937814712524414
239,0.05552202835679054
240,0.0611356757581234
241,0.06764374673366547
242,0.055299755185842514
243,0.06849480420351028
244,0.0718851238489151
245,0.05871913954615593
246,0.06453953683376312
247,0.059051334857940674
248,0.059111520648002625
249,0.06788160651922226
250,0.06499814987182617
251,0.0625399574637413
252,0.05883747711777687
253,0.06772058457136154
254,0.06332798302173615
255,0.061544254422187805
256,0.06446164846420288
257,0.06267529726028442
258,0.06213579326868057
259,0.055486660450696945
260,0.06100471317768097
261,0.06001277267932892
262,0.05746448412537575
263,0.05787031352519989
264,0.05697295069694519
265,0.06070273742079735
266,0.05485476925969124
267,0.053275033831596375
268,0.05527213588356972
269,0.05750888213515282
270,0.05893125757575035
271,0.06399184465408325
272,0.05773855000734329
273,0.06355510652065277
274,0.05815130099654198
275,0.06460761278867722
276,0.05806146189570427
277,0.06366204470396042
278,0.06438253819942474
279,0.05972224473953247
280,0.06196344271302223
281,0.05985654890537262
282,0.05950874462723732
283,0.06487273424863815
284,0.05726524069905281
285,0.05783301219344139
286,0.05333893001079559
287,0.06258668750524521
288,0.06168825924396515
289,0.05678354948759079
290,0.05335766449570656
291,0.06133259832859039
292,0.06144941225647926
293,0.05468805134296417
294,0.05344697833061218
295,0.05745381861925125
296,0.05795728415250778
297,0.053100842982530594
298,0.060538917779922485
299,0.057404227554798126
300,0.058294232934713364
301,0.05137230083346367
302,0.0526215136051178
303,0.056243639439344406
304,0.0623207725584507
305,0.056727729737758636
306,0.06207038089632988
307,0.05251947045326233
308,0.05586302652955055
309,0.0618247352540493
310,0.06048408895730972
311,0.05386315658688545
312,0.05381474271416664
313,0.057481810450553894
314,0.07091116160154343
315,0.05765936151146889
316,0.05776054784655571
317,0.06038103625178337
318,0.04902946949005127
319,0.05844706669449806
320,0.056814756244421005
321,0.054948776960372925
322,0.05105544999241829
323,0.05401664599776268
324,0.05750923231244087
325,0.05518702417612076
326,0.05412283539772034
327,0.054007064551115036
328,0.054260265082120895
329,0.055118754506111145
330,0.05408848822116852
331,0.05438388139009476
332,0.05123811587691307
333,0.06118882820010185
334,0.05722813308238983
335,0.05396139621734619
336,0.05851461738348007
337,0.053661879152059555
338,0.052270736545324326
339,0.059761907905340195
340,0.052990734577178955
341,0.055069081485271454
342,0.057963717728853226
