dataset,n_images_used,image_height,image_width,image_channels,H_pixel,H_pixel_R,H_pixel_G,H_pixel_B,H_conditional,H_block_1x1,H_block_2x2,H_block_4x4,H_block_8x8,H_gzip_mean,H_gzip_std,H_png_mean,H_png_std,H_filtered_gzip_mean,H_filtered_gzip_std,H_jpeg_lossless_mean,elapsed_seconds,notes
CIFAR-10,50000,32,32,3,7.90156292403024,7.905412902112882,7.88801004491877,7.91126582505907,5.973432681254317,7.90156292403024,1.9544123386040504,0.4493409389209935,0.10210883315491093,7.2216067708333345,0.8029259372463028,5.869014583333333,0.6908774645257894,6.219220833333333,0.770424670455991,4.608446875,13.55, webp_lossless_used_for_jpeg_lossless_field
CIFAR-100,50000,32,32,3,7.895180327399973,7.918496004649529,7.876694088830413,7.890350888719974,5.943680751856243,7.895180327399973,1.9384389482161302,0.4477637356920497,0.10203741082792668,7.119073958333333,0.9485995981850648,5.7794473958333334,0.7793796442015507,6.162409895833333,0.8546645854178334,4.613342708333333,13.62, webp_lossless_used_for_jpeg_lossless_field
STL-10,5000,96,96,3,7.845729180838906,7.852871567691041,7.838262387448022,7.846053587377656,5.460481400729274,7.845729180838906,1.8962311876048912,0.43718026926429304,0.09989929485125154,6.479598900462964,1.0456420765570722,5.107385300925926,0.9053896382637641,5.433636921296296,0.9994254568447131,4.020261342592593,21.19, webp_lossless_used_for_jpeg_lossless_field
RandomNoise,10000,32,32,3,7.999981668960429,7.999982774099195,7.999981333781722,7.99998089900037,7.995243615297789,7.999981668960429,1.7739760316291286,0.40182734124061387,0.0900401686434867,8.028645833333332,1.7763568394002505e-15,8.260416666666668,1.7763568394002505e-15,8.028645833333332,1.7763568394002505e-15,8.27759375,3.04,control: max-entropy uniform noise webp_lossless_used_for_jpeg_lossless_field
ConstantColor,1000,32,32,3,7.798420160656953,7.840198985133331,7.764406450484426,7.790655046353104,0.0,7.798420160656953,0.8304820237218405,0.20762050593046014,0.051905126482615034,0.07803645833333334,0.001915158770525163,0.261046875,0.0015525638937245664,0.10944010416666668,0.0012820728006757817,0.09919791666666666,0.46,control: min-entropy solid color webp_lossless_used_for_jpeg_lossless_field
