matrix,cos_INT8,cos_INT4,cos_INT3,deg_54,deg_43,cliff_ratio
transformer.h.0.mlp.c_proj.weight,0.9920063921278168,0.2364087703001631,0.2002371846859732,0.3438508554631529,0.0361715856141899,0.10519556673915575
transformer.h.1.mlp.c_fc.weight,0.9950307451343842,0.2392228019552676,0.0418809248687116,0.49339283453874516,0.19734187708655598,0.3999690779276186
transformer.h.1.mlp.c_proj.weight,0.968013212687986,0.2820394910829202,0.2090182410205535,0.08194717406095631,0.0730212500623667,0.8910770981321446
transformer.h.0.mlp.c_fc.weight,0.9991970764588628,0.7957669280818869,0.2336497537797108,0.15130576079536917,0.562117174302176,3.7151075500846367
transformer.h.2.mlp.c_fc.weight,0.999323399932574,0.819998326185264,0.3069188071311425,0.13394354464757552,0.5130795190541215,3.8305654849146076
transformer.h.2.mlp.c_proj.weight,0.9651155464080544,0.2541942854550978,0.1765402570048301,0.016955713823746388,0.07765402845026773,4.579814760822023
