model,params,log_params,cliff_precision,cliff_bpt
EleutherAI/pythia-70m,70426624,7.847736870370011,int4,5.1959563582016575
EleutherAI/pythia-160m,162322944,8.210379910758657,int4,4.49433318401933
EleutherAI/pythia-410m,405334016,8.607813051659775,int4,3.7588968448161664
EleutherAI/pythia-1b,1011781632,9.00508679091219,int4,3.13898881943419
EleutherAI/pythia-1.4b,1414647808,9.150648330969494,int4,3.0460026156268936
openai-community/gpt2,124439808,8.094959332357874,int4,4.144930478804033
openai-community/gpt2-medium,354823168,8.550011969124913,int4,3.741990262305749
openai-community/gpt2-large,774030080,8.888757838362707,int4,3.4827559971460134
