step,train_loss
1,6.252869606018066
2,6.164462089538574
3,6.0070343017578125
4,5.80165958404541
5,5.534367561340332
6,5.274684429168701
7,5.049587249755859
8,4.842601776123047
9,4.826547622680664
10,4.755075454711914
11,4.6447248458862305
12,4.469063758850098
13,4.398181915283203
14,4.336449146270752
15,4.279799461364746
16,4.195394515991211
17,4.124777317047119
18,4.090341567993164
19,4.008618354797363
20,3.9709582328796387
21,3.9305717945098877
22,3.9241013526916504
23,3.8563969135284424
24,3.786224842071533
25,3.789275884628296
26,3.721236228942871
27,3.7589266300201416
28,3.6708881855010986
29,3.61958646774292
30,3.6345555782318115
31,3.566678047180176
32,3.5255889892578125
33,3.5051891803741455
34,3.446561336517334
35,3.3729283809661865
36,3.3844997882843018
37,3.3275108337402344
38,3.3258118629455566
39,3.3048222064971924
40,3.2708191871643066
41,3.2530837059020996
42,3.2100205421447754
43,3.2474050521850586
44,3.215904951095581
45,3.189166307449341
46,3.1763803958892822
47,3.203878879547119
48,3.138782501220703
49,3.152462959289551
50,3.1273317337036133
51,3.140225887298584
52,3.098782539367676
53,3.0973594188690186
54,3.104626178741455
55,3.0795702934265137
56,3.0740163326263428
57,3.11133074760437
58,3.0720958709716797
59,3.0925095081329346
60,3.0786101818084717
61,3.060690402984619
62,3.056899070739746
63,3.068692207336426
64,3.0311789512634277
65,3.0257229804992676
66,3.0421271324157715
67,3.0494656562805176
68,3.045236110687256
69,3.023101329803467
70,2.993652820587158
71,2.997298240661621
72,3.009744882583618
73,3.0127267837524414
74,2.9920358657836914
75,2.9894301891326904
76,2.9898736476898193
77,3.0185906887054443
78,2.9890153408050537
79,2.9960684776306152
80,2.935859441757202
81,3.004150152206421
82,2.982388496398926
83,2.9809398651123047
84,2.9919989109039307
85,2.9772801399230957
86,2.9812827110290527
87,2.9681284427642822
88,2.944732904434204
89,2.961679697036743
90,2.960801601409912
91,2.9328160285949707
92,2.940218925476074
93,2.943162441253662
94,2.945021629333496
95,2.9213905334472656
96,2.956841468811035
97,2.937570571899414
98,2.961259365081787
99,2.9554901123046875
100,2.9086804389953613
101,2.9354958534240723
102,2.939480781555176
103,2.939307689666748
104,2.935480833053589
105,2.9060862064361572
106,2.9391586780548096
107,2.9257540702819824
108,2.927832841873169
109,2.885263442993164
110,2.921823501586914
111,2.9034483432769775
112,2.926633358001709
113,2.91367506980896
114,2.936797618865967
115,2.860818862915039
116,2.917450428009033
117,2.884572982788086
118,2.895273447036743
119,2.8933424949645996
120,2.8862459659576416
121,2.87459135055542
122,2.882481575012207
123,2.8872408866882324
124,2.890280246734619
125,2.924254894256592
126,2.8643991947174072
127,2.872500419616699
128,2.9008777141571045
129,2.897966146469116
130,2.8865532875061035
131,2.8583216667175293
132,2.886233329772949
133,2.902980327606201
134,2.8690969944000244
135,2.8676650524139404
136,2.8324546813964844
137,2.871175765991211
138,2.876033306121826
139,2.8745484352111816
140,2.866997718811035
141,2.879210948944092
142,2.8433847427368164
143,2.838284492492676
144,2.8431262969970703
145,2.881497859954834
146,2.853933811187744
147,2.876315116882324
148,2.8381166458129883
149,2.851499557495117
150,2.8378753662109375
151,2.8722314834594727
152,2.8560876846313477
153,2.8394293785095215
154,2.840977668762207
155,2.852409601211548
156,2.859063148498535
157,2.8285789489746094
158,2.8588814735412598
159,2.882183074951172
