model,params,seed,steps,BPT,BPSS_star,BPSS_over_H,train_loss,plateau_slope,time_hrs,peak_vram_mb,batch_size,seq_len,n_params
gpt2_92m,85790208,42,40000,3.8223982212650536,2.0002212362465013,0.25002765453081266,2.654697895050049,-1.2828047735432534e-08,1.8792932493156858,1764.26708984375,8,512,85790208
gpt2_92m,85790208,137,40000,3.8223721199172624,2.0002075776826564,0.25002594721033206,2.6477627754211426,1.8528303583497803e-08,1.8935438357459173,1764.26708984375,8,512,85790208
gpt2_1b,1210560512,42,25000,3.824198982753648,2.0011635560055634,0.2501454445006954,2.6807048320770264,-1.2062575272467176e-06,5.230349595348041,23118.169921875,4,512,1210560512
gpt2_1b,1210560512,137,25000,3.822912833539848,2.0004905274979334,0.2500613159372417,2.5787100791931152,-2.8050647174886426e-06,5.247050027052562,23118.169921875,4,512,1210560512
