step,train_loss
1,6.743771553039551
2,6.795483589172363
3,5.600013732910156
4,5.854306697845459
5,5.735747814178467
6,4.457279205322266
7,4.774381637573242
8,4.854262351989746
9,4.298394203186035
10,3.9914369583129883
11,4.015470027923584
12,3.827134370803833
13,3.8125782012939453
14,3.7644944190979004
15,3.670057773590088
16,3.6378815174102783
17,3.5891499519348145
18,3.6804652214050293
19,3.527437686920166
20,3.6304402351379395
21,3.441326141357422
22,3.811720371246338
23,3.8570351600646973
24,3.3358936309814453
25,3.702759265899658
26,3.713205337524414
27,3.283961772918701
28,3.5964460372924805
29,3.6595864295959473
30,3.2616281509399414
31,3.288731098175049
32,3.2379231452941895
33,3.281768321990967
34,3.3126492500305176
35,3.070585012435913
36,3.1352405548095703
37,3.0818653106689453
38,3.0434398651123047
39,3.099127769470215
40,3.009962320327759
41,3.045161247253418
42,2.9718151092529297
43,3.086306095123291
44,3.011198043823242
45,3.061624050140381
46,3.035832166671753
47,2.9023189544677734
48,2.96600341796875
49,2.9737749099731445
50,2.9514451026916504
51,2.907365322113037
52,2.957587242126465
53,3.0095438957214355
54,2.9141454696655273
55,2.9709360599517822
56,2.9046595096588135
57,2.867386817932129
58,2.899384021759033
59,2.963822364807129
60,2.9113364219665527
61,2.946489095687866
62,2.9120168685913086
63,2.933537483215332
64,2.907583713531494
65,2.9259305000305176
66,2.945023536682129
67,2.904656410217285
68,2.951545238494873
69,2.8919453620910645
70,2.8608479499816895
71,2.928773880004883
72,2.8826651573181152
73,2.8622097969055176
74,2.920423984527588
75,2.8899309635162354
76,2.9181597232818604
77,2.9404373168945312
78,2.87314510345459
79,2.8899827003479004
80,2.9060301780700684
81,2.869381904602051
82,2.8343734741210938
83,2.8302292823791504
84,2.895066261291504
85,2.902005434036255
86,2.900202751159668
87,2.8964335918426514
88,2.9022679328918457
89,2.905334949493408
90,2.892111301422119
91,2.916867971420288
92,2.932849884033203
93,2.943922281265259
94,2.958871364593506
95,2.917762041091919
96,2.891314744949341
97,2.8644051551818848
98,2.927931308746338
99,2.884890556335449
100,2.8817903995513916
101,2.8561172485351562
102,2.9077930450439453
103,2.8449740409851074
104,2.8562352657318115
105,2.85776424407959
106,2.852654457092285
107,2.8947155475616455
108,2.853785991668701
109,2.8691391944885254
110,2.8196635246276855
111,2.786872386932373
112,2.926053047180176
113,2.9059879779815674
114,2.9230449199676514
115,2.867932081222534
116,2.879574775695801
117,2.8816466331481934
118,2.8835697174072266
119,2.888157606124878
120,2.852689266204834
121,2.8263702392578125
122,2.845005750656128
123,2.8425984382629395
124,2.8377866744995117
125,2.8443102836608887
126,2.8853588104248047
127,2.8505945205688477
128,2.843613862991333
129,2.8096227645874023
130,2.8499016761779785
131,2.8090670108795166
132,2.884209632873535
133,2.8533968925476074
134,2.861780881881714
135,2.869070529937744
136,2.8587560653686523
137,2.8430776596069336
138,2.8445749282836914
139,2.8032960891723633
140,2.8379485607147217
141,2.8445892333984375
142,2.812849521636963
143,2.824749708175659
144,2.8470592498779297
145,2.8427414894104004
146,2.848714828491211
147,2.8533871173858643
148,2.8510472774505615
149,2.814998149871826
150,2.840459108352661
151,2.8501572608947754
152,2.8447258472442627
153,2.874325752258301
154,2.8618311882019043
155,2.8063087463378906
156,2.892456531524658
157,2.8680810928344727
158,2.845822811126709
159,2.791888952255249
