step,loss
1,5.562098979949951
2,5.581842422485352
3,5.5505475997924805
4,5.43437385559082
5,5.431308269500732
6,5.353111743927002
7,5.247523307800293
8,5.186461925506592
9,5.406134128570557
10,5.156490802764893
11,5.087555885314941
12,4.975979804992676
13,4.746095657348633
14,4.70391321182251
15,4.516732692718506
16,4.490472793579102
17,4.36348819732666
18,4.138944625854492
19,4.138476848602295
20,3.933706760406494
21,3.7797915935516357
22,3.6397416591644287
23,3.554152488708496
24,3.403219223022461
25,3.3092973232269287
26,3.2354912757873535
27,3.0637776851654053
28,3.085935354232788
29,2.8916232585906982
30,2.7558956146240234
31,2.7433807849884033
32,2.6943471431732178
33,2.578343391418457
34,2.548346996307373
35,2.502415418624878
36,2.363025188446045
37,2.350092649459839
38,2.2842578887939453
39,2.2042057514190674
40,2.2043890953063965
41,2.139188766479492
42,2.092298984527588
43,2.1255924701690674
44,2.0743815898895264
45,1.8937991857528687
46,1.9240118265151978
47,1.9934037923812866
48,1.9142035245895386
49,1.9008429050445557
50,1.8689172267913818
51,1.904274582862854
52,1.7683302164077759
53,1.7407307624816895
54,1.7378363609313965
55,1.8340559005737305
56,1.756322979927063
57,1.7146992683410645
58,1.636350154876709
59,1.6464223861694336
60,1.689968228340149
61,1.7089425325393677
62,1.5892101526260376
63,1.51768159866333
64,1.5125380754470825
65,1.4846951961517334
66,1.4444458484649658
67,1.4479246139526367
68,1.4065680503845215
69,1.391472578048706
70,1.4258790016174316
71,1.3718944787979126
72,1.362141728401184
73,1.3275829553604126
74,1.308104395866394
75,1.3261559009552002
76,1.2759926319122314
77,1.301648736000061
78,1.364371657371521
79,1.2603808641433716
80,1.2230967283248901
81,1.226621389389038
82,1.1782066822052002
83,1.2148994207382202
84,1.1800059080123901
85,1.1669310331344604
86,1.1193833351135254
87,1.1344748735427856
88,1.0765668153762817
89,1.1079915761947632
90,1.131084680557251
91,1.0815120935440063
92,1.0217410326004028
93,1.0324461460113525
94,0.9989804625511169
95,0.9965553283691406
96,0.9933055639266968
97,0.9897097945213318
98,0.9968671798706055
99,0.9408754110336304
100,0.9178916215896606
101,0.9221608638763428
102,0.8982579112052917
103,0.850503146648407
104,0.8618003129959106
105,0.8670271635055542
106,0.8650506734848022
107,0.8775224089622498
108,0.8226858973503113
109,0.8134236931800842
110,0.8010046482086182
111,0.8117058277130127
112,0.7722864151000977
113,0.7634541988372803
114,0.762620210647583
115,0.7676125764846802
116,0.7521274089813232
117,0.7235093116760254
118,0.7339450716972351
119,0.7222817540168762
120,0.7007243037223816
121,0.679011344909668
122,0.7037415504455566
123,0.6655639410018921
124,0.6784810423851013
125,0.6378472447395325
126,0.6749488711357117
127,0.6439139246940613
128,0.6347407698631287
129,0.6094607710838318
130,0.6104136109352112
131,0.6068641543388367
132,0.5899192690849304
133,0.577013373374939
134,0.5812150239944458
135,0.5639477372169495
136,0.552682638168335
137,0.5731989145278931
138,0.5583670139312744
139,0.5521193146705627
140,0.5337679386138916
141,0.5466601252555847
142,0.510960578918457
143,0.5167343020439148
144,0.5204401016235352
145,0.5284799337387085
146,0.4900832176208496
147,0.5018091797828674
148,0.4780615270137787
149,0.48071274161338806
150,0.4664214551448822
151,0.45034879446029663
152,0.45987963676452637
153,0.4467391073703766
154,0.43728095293045044
155,0.45392662286758423
156,0.435842365026474
157,0.44749993085861206
158,0.430367648601532
159,0.44111546874046326
160,0.41475382447242737
161,0.41436147689819336
162,0.43972721695899963
163,0.4218517541885376
164,0.41498953104019165
165,0.38746657967567444
166,0.4257574677467346
167,0.37834200263023376
168,0.3929015100002289
169,0.3942054808139801
170,0.38014328479766846
171,0.38644903898239136
172,0.3790900707244873
173,0.36588966846466064
174,0.35560816526412964
175,0.367530882358551
176,0.34937578439712524
177,0.35489410161972046
178,0.3588028848171234
179,0.3479812443256378
180,0.3798704743385315
181,0.3447266221046448
182,0.344802588224411
183,0.32483115792274475
184,0.34913069009780884
185,0.33188512921333313
186,0.33455124497413635
187,0.3401188552379608
188,0.3191256821155548
189,0.303484708070755
190,0.3149905502796173
191,0.3052195608615875
192,0.3031919598579407
193,0.31112685799598694
194,0.2955966889858246
195,0.28843313455581665
196,0.30335843563079834
197,0.3034636676311493
198,0.28582316637039185
199,0.29317706823349
200,0.28418081998825073
201,0.29444122314453125
202,0.27086272835731506
203,0.29217228293418884
204,0.2679257094860077
205,0.2788141369819641
206,0.26064780354499817
207,0.25665876269340515
208,0.28153833746910095
209,0.2569030821323395
210,0.2683750092983246
211,0.26099634170532227
212,0.26085007190704346
213,0.2512405216693878
214,0.24839253723621368
215,0.24626652896404266
216,0.2490749955177307
217,0.24773168563842773
218,0.23868347704410553
219,0.2413770705461502
220,0.24876119196414948
221,0.24637460708618164
222,0.24670888483524323
223,0.23004627227783203
224,0.24921979010105133
225,0.2283858060836792
226,0.23178152740001678
227,0.23315361142158508
228,0.23838062584400177
229,0.22062212228775024
230,0.22667250037193298
231,0.227340430021286
232,0.22979187965393066
