shuffle_level,seed,mse_per_dim,bits_per_pixel,bits_per_patch,n_params,train_time_hrs,img_size,patch_size,structural_bonus,delta_from_original
original,42,0.024140106519063315,0.7614502415647536,584.7937855217308,34438400,0.21945974422825706,96,16,0.6922795547002879,0.0
quadrant_shuffled,42,0.03887226831345331,0.4177956147311561,320.8670321135279,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.3436546268335975
block_4x4_shuffled,42,0.048097739646548315,0.2641817145245615,202.89155675486325,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.4972685270401921
patch_shuffled,42,0.0881707955678304,0.0,0.0,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.7614502415647536
row_shuffled,42,0.04438364796411423,0.32215213766094225,247.41284172360366,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.43929810390381135
pixel_shuffled,42,0.06302792431059338,0.06917068686446566,53.12308751190963,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.6922795547002879
